Title,Artist,Year,Rank
Earned It (Fifty Shades Of Grey),The Weeknd,2015,9
The Hills,The Weeknd,2015,10
Cheerleader,OMI,2015,11
Can't Feel My Face,The Weeknd,2015,12
Love Me Like You Do,Ellie Goulding,2015,13
Take Me To Church,Hozier,2015,14
Bad Blood,Taylor Swift Featuring Kendrick Lamar,2015,15
Lean On,Major Lazer & DJ Snake Featuring MO,2015,16
Want To Want Me,Jason Derulo,2015,17
Shake It Off,Taylor Swift,2015,18
Where Are U Now,Skrillex & Diplo With Justin Bieber,2015,19
Fight Song,Rachel Platten,2015,20
679,Fetty Wap Featuring Remy Boyz,2015,21
Lips Are Movin,Meghan Trainor,2015,22
Worth It,Fifth Harmony Featuring Kid Ink,2015,23
Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,2015,24
"Honey, I'm Good.",Andy Grammer,2015,25
I'm Not The Only One,Sam Smith,2015,26
Good For You,Selena Gomez Featuring A$AP Rocky,2015,27
All About That Bass,Meghan Trainor,2015,28
Style,Taylor Swift,2015,29
Hotline Bling,Drake,2015,30
Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",2015,31
G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,2015,32
What Do You Mean?,Justin Bieber,2015,33
Photograph,Ed Sheeran,2015,34
Hello,Adele,2015,35
Stitches,Shawn Mendes,2015,36
Talking Body,Tove Lo,2015,37
Jealous,Nick Jonas,2015,38
Time Of Our Lives,Pitbull & Ne-Yo,2015,39
Locked Away,R. City Featuring Adam Levine,2015,40
Somebody,Natalie La Rose Featuring Jeremih,2015,41
FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,2015,42
Centuries,Fall Out Boy,2015,43
My Way,Fetty Wap Featuring Monty,2015,44
Take Your Time,Sam Hunt,2015,45
Animals,Maroon 5,2015,46
I Don't F**k With You,Big Sean Featuring E-40,2015,47
B**** Better Have My Money,Rihanna,2015,48
Flex (Ooh Ooh Ooh),Rich Homie Quan,2015,49
Nasty Freestyle,T-Wayne,2015,50
Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",2015,51
Elastic Heart,Sia,2015,52
Cool For The Summer,Demi Lovato,2015,53
Renegades,X Ambassadors,2015,54
I Don't Mind,Usher Featuring Juicy J,2015,55
Love Me Harder,Ariana Grande & The Weeknd,2015,56
Wildest Dreams,Taylor Swift,2015,57
Stay With Me,Sam Smith,2015,58
You Know You Like It,DJ Snake & AlunaGeorge,2015,59
Uma Thurman,Fall Out Boy,2015,60
7/11,Beyonce,2015,61
The Heart Wants What It Wants,Selena Gomez,2015,62
Girl Crush,Little Big Town,2015,63
Slow Motion,Trey Songz,2015,64
Drag Me Down,One Direction,2015,65
Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,2015,66
One Last Time,Ariana Grande,2015,67
Chains,Nick Jonas,2015,68
All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,2015,69
No Type,Rae Sremmurd,2015,70
Riptide,Vance Joy,2015,71
Classic Man,Jidenna Featuring Roman GianArthur,2015,72
Ex's & Oh's,Elle King,2015,73
Dear Future Husband,Meghan Trainor,2015,74
Marvin Gaye,Charlie Puth Featuring Meghan Trainor,2015,75
Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,2015,76
Habits (Stay High),Tove Lo,2015,77
The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,2015,78
CoCo,O.T. Genasis,2015,79
Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2015,80
Lay Me Down,Sam Smith,2015,81
Tuesday,I LOVE MAKONNEN Featuring Drake,2015,82
Hit The Quan,iLoveMemphis,2015,83
Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",2015,84
House Party,Sam Hunt,2015,85
Ayo,Chris Brown & Tyga,2015,86
Kick The Dust Up,Luke Bryan,2015,87
Blessings,Big Sean Featuring Drake,2015,88
Budapest,George Ezra,2015,89
Chandelier,Sia,2015,90
Heartbeat Song,Kelly Clarkson,2015,91
Don't,Ed Sheeran,2015,92
Ghost,Ella Henderson,2015,93
Here,Alessia Cara,2015,94
Waves,Mr. Probz,2015,95
El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias,2015,96
She Knows,Ne-Yo Featuring Juicy J,2015,97
Night Changes,One Direction,2015,98
Back To Back,Drake,2015,99
Happy,Pharrell Williams,2014,1
Dark Horse,Katy Perry Featuring Juicy J,2014,2
All Of Me,John Legend,2014,3
Fancy,Iggy Azalea Featuring Charli XCX,2014,4
Counting Stars,OneRepublic,2014,5
Talk Dirty,Jason Derulo Featuring 2 Chainz,2014,6
Rude,MAGIC!,2014,7
All About That Bass,Meghan Trainor,2014,8
Problem,Ariana Grande Featuring Iggy Azalea,2014,9
Stay With Me,Sam Smith,2014,10
Timber,Pitbull Featuring Ke$ha,2014,11
Pompeii,Bastille,2014,12
Shake It Off,Taylor Swift,2014,13
Am I Wrong,Nico & Vinz,2014,14
Turn Down For What,DJ Snake & Lil Jon,2014,15
The Monster,Eminem Featuring Rihanna,2014,16
Say Something,A Great Big World & Christina Aguilera,2014,17
Team,Lorde,2014,18
Let Her Go,Passenger,2014,19
Royals,Lorde,2014,20
Let It Go,Idina Menzel,2014,21
Wake Me Up!,Avicii,2014,22
Demons,Imagine Dragons,2014,23
Story Of My Life,One Direction,2014,24
Chandelier,Sia,2014,25
Black Widow,Iggy Azalea Featuring Rita Ora,2014,26
Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2014,27
Latch,Disclosure Featuring Sam Smith,2014,28
Maps,Maroon 5,2014,29
Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,2014,30
Best Day Of My Life,American Authors,2014,31
Habits (Stay High),Tove Lo,2014,32
Summer,Calvin Harris,2014,33
Boom Clap,Charli XCX,2014,34
Drunk In Love,Beyonce Featuring Jay Z,2014,35
Anaconda,Nicki Minaj,2014,36
Break Free,Ariana Grande Featuring Zedd,2014,37
Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,2014,38
Burn,Ellie Goulding,2014,39
Wiggle,Jason Derulo Featuring Snoop Dogg,2014,40
Rather Be,Clean Bandit Featuring Jess Glynne,2014,41
Don't Tell 'Em,Jeremih Featuring YG,2014,42
Show Me,Kid Ink Featuring Chris Brown,2014,43
Wrecking Ball,Miley Cyrus,2014,44
Not A Bad Thing,Justin Timberlake,2014,45
Roar,Katy Perry,2014,46
Ain't It Fun,Paramore,2014,47
The Man,Aloe Blacc,2014,48
This Is How We Roll,Florida Georgia Line Featuring Luke Bryan,2014,49
Classic,MKTO,2014,50
A Sky Full Of Stars,Coldplay,2014,51
Don't,Ed Sheeran,2014,52
Na Na,Trey Songz,2014,53
Hot Boy,Bobby Shmurda,2014,54
"Hold On, We're Going Home",Drake Featuring Majid Jordan,2014,55
Sing,Ed Sheeran,2014,56
Radioactive,Imagine Dragons,2014,57
My Hitta,YG Featuring Jeezy & Rich Homie Quan,2014,58
Cool Kids,Echosmith,2014,59
Hey Brother,Avicii,2014,60
Trumpets,Jason Derulo,2014,61
Animals,Maroon 5,2014,62
Burnin' It Down,Jason Aldean,2014,63
Play It Again,Luke Bryan,2014,64
2 On,Tinashe Featuring ScHoolboy Q,2014,65
Dirt,Florida Georgia Line,2014,66
Love Runs Out,OneRepublic,2014,67
Bottoms Up,Brantley Gilbert,2014,68
Shower,Becky G,2014,69
Me And My Broken Heart,Rixton,2014,70
Animals,Martin Garrix,2014,71
Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,2014,72
American Kids,Kenny Chesney,2014,73
Brave,Sara Bareilles,2014,74
Sweater Weather,The Neighbourhood,2014,75
Leave The Night On,Sam Hunt,2014,76
New Flame,Chris Brown Featuring Usher & Rick Ross,2014,77
Love Never Felt So Good,Michael Jackson & Justin Timberlake,2014,78
Drunk On A Plane,Dierks Bentley,2014,79
Birthday,Katy Perry,2014,80
Bartender,Lady Antebellum,2014,81
La La La,Naughty Boy Featuring Sam Smith,2014,82
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2014,83
Do What U Want,Lady Gaga Featuring R. Kelly,2014,84
Can't Remember To Forget You,Shakira Featuring Rihanna,2014,85
Amnesia,5 Seconds Of Summer,2014,86
No Mediocre,T.I. Featuring Iggy Azalea,2014,87
Come With Me Now,KONGOS,2014,88
Believe Me,Lil Wayne Featuring Drake,2014,89
23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",2014,90
Beachin',Jake Owen,2014,91
White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,2014,92
She Looks So Perfect,5 Seconds Of Summer,2014,93
Stay The Night,Zedd Featuring Hayley Williams,2014,94
Partition,Beyonce,2014,95
Studio,ScHoolboy Q Featuring BJ The Chicago Kid,2014,96
0 To 100 / The Catch Up,Drake,2014,97
I Don't Dance,Lee Brice,2014,98
Somethin' Bad,Miranda Lambert Duet With Carrie Underwood,2014,99
Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,2013,1
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2013,2
Radioactive,Imagine Dragons,2013,3
Harlem Shake,Baauer,2013,4
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,2013,5
Mirrors,Justin Timberlake,2013,6
Just Give Me A Reason,P!nk Featuring Nate Ruess,2013,7
When I Was Your Man,Bruno Mars,2013,8
Cruise,Florida Georgia Line Featuring Nelly,2013,9
Roar,Katy Perry,2013,10
Locked Out Of Heaven,Bruno Mars,2013,11
Ho Hey,The Lumineers,2013,12
Stay,Rihanna Featuring Mikky Ekko,2013,13
Get Lucky,Daft Punk Featuring Pharrell Williams,2013,14
Royals,Lorde,2013,15
I Knew You Were Trouble.,Taylor Swift,2013,16
We Can't Stop,Miley Cyrus,2013,17
Wrecking Ball,Miley Cyrus,2013,18
Wake Me Up!,Avicii,2013,19
Suit & Tie,Justin Timberlake Featuring JAY Z,2013,20
Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,2013,21
Holy Grail,Jay Z Featuring Justin Timberlake,2013,22
Scream & Shout,will.i.am & Britney Spears,2013,23
Clarity,Zedd Featuring Foxes,2013,24
Sail,AWOLNATION,2013,25
Don't You Worry Child,Swedish House Mafia Featuring John Martin,2013,26
Diamonds,Rihanna,2013,27
I Love It,Icona Pop Featuring Charli XCX,2013,28
Safe And Sound,Capital Cities,2013,29
Treasure,Bruno Mars,2013,30
The Way,Ariana Grande Featuring Mac Miller,2013,31
Started From The Bottom,Drake,2013,32
Come & Get It,Selena Gomez,2013,33
"Hold On, We're Going Home",Drake Featuring Majid Jordan,2013,34
Daylight,Maroon 5,2013,35
Feel This Moment,Pitbull Featuring Christina Aguilera,2013,36
Applause,Lady Gaga,2013,37
One More Night,Maroon 5,2013,38
Love Me,Lil Wayne Featuring Drake & Future,2013,39
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,2013,40
F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",2013,41
Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,2013,42
Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,2013,43
Sweet Nothing,Calvin Harris Featuring Florence Welch,2013,44
Summertime Sadness,Lana Del Rey & Cedric Gervais,2013,45
Home,Phillip Phillips,2013,46
It's Time,Imagine Dragons,2013,47
Power Trip,J. Cole Featuring Miguel,2013,48
Girl On Fire,Alicia Keys Featuring Nicki Minaj,2013,49
Heart Attack,Demi Lovato,2013,50
Love Somebody,Maroon 5,2013,51
I Will Wait,Mumford & Sons,2013,52
Try,P!nk,2013,53
Wagon Wheel,Darius Rucker,2013,54
Gangnam Style,PSY,2013,55
I Need Your Love,Calvin Harris Featuring Ellie Goulding,2013,56
Die Young,Ke$ha,2013,57
Some Nights,fun.,2013,58
Bad,Wale Featuring Tiara Thomas Or Rihanna,2013,59
Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends,2013,60
"Gone, Gone, Gone",Phillip Phillips,2013,61
Demons,Imagine Dragons,2013,62
Counting Stars,OneRepublic,2013,63
I Cry,Flo Rida,2013,64
Little Talks,Of Monsters And Men,2013,65
The Other Side,Jason Derulo,2013,66
Berzerk,Eminem,2013,67
Catch My Breath,Kelly Clarkson,2013,68
Crash My Party,Luke Bryan,2013,69
Pour It Up,Rihanna,2013,70
22,Taylor Swift,2013,71
I Want Crazy,Hunter Hayes,2013,72
The Fox,Ylvis,2013,73
Best Song Ever,One Direction,2013,74
The A Team,Ed Sheeran,2013,75
Carry On,fun.,2013,76
Highway Don't Care,Tim McGraw With Taylor Swift,2013,77
That's My Kind Of Night,Luke Bryan,2013,78
Swimming Pools (Drank),Kendrick Lamar,2013,79
Sure Be Cool If You Did,Blake Shelton,2013,80
#Beautiful,Mariah Carey Featuring Miguel,2013,81
Troublemaker,Olly Murs Featuring Flo Rida,2013,82
Body Party,Ciara,2013,83
Adorn,Miguel,2013,84
Hall Of Fame,The Script Featuring will.i.am,2013,85
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2013,86
U.O.E.N.O.,Rocko Featuring Future & Rick Ross,2013,87
Next To Me,Emeli Sande,2013,88
Mama's Broken Heart,Miranda Lambert,2013,89
It Goes Like This,Thomas Rhett,2013,90
Bugatti,Ace Hood Featuring Future & Rick Ross,2013,91
Wanted,Hunter Hayes,2013,92
Downtown,Lady Antebellum,2013,93
Get Your Shine On,Florida Georgia Line,2013,94
#thatPOWER,will.i.am Featuring Justin Bieber,2013,95
Brave,Sara Bareilles,2013,96
Let Her Go,Passenger,2013,97
Runnin' Outta Moonlight,Randy Houser,2013,98
I'm Different,2 Chainz,2013,99
Somebody That I Used To Know,Gotye Featuring Kimbra,2012,1
Call Me Maybe,Carly Rae Jepsen,2012,2
We Are Young,fun. Featuring Janelle Monae,2012,3
Payphone,Maroon 5 Featuring Wiz Khalifa,2012,4
Lights,Ellie Goulding,2012,5
Glad You Came,The Wanted,2012,6
Stronger (What Doesn't Kill You),Kelly Clarkson,2012,7
We Found Love,Rihanna Featuring Calvin Harris,2012,8
Starships,Nicki Minaj,2012,9
What Makes You Beautiful,One Direction,2012,10
Wild Ones,Flo Rida Featuring Sia,2012,11
Set Fire To The Rain,Adele,2012,12
Sexy And I Know It,LMFAO,2012,13
Some Nights,fun.,2012,14
Wide Awake,Katy Perry,2012,15
Good Feeling,Flo Rida,2012,16
Whistle,Flo Rida,2012,17
One More Night,Maroon 5,2012,18
Drive By,Train,2012,19
The Motto,Drake Featuring Lil Wayne,2012,20
Where Have You Been,Rihanna,2012,21
Everybody Talks,Neon Trees,2012,22
Take Care,Drake Featuring Rihanna,2012,23
Titanium,David Guetta Featuring Sia,2012,24
I Won't Give Up,Jason Mraz,2012,25
It Will Rain,Bruno Mars,2012,26
Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",2012,27
Boyfriend,Justin Bieber,2012,28
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2012,29
Too Close,Alex Clare,2012,30
Part Of Me,Katy Perry,2012,31
"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,2012,32
We Are Never Ever Getting Back Together,Taylor Swift,2012,33
As Long As You Love Me,Justin Bieber Featuring Big Sean,2012,34
Turn Me On,David Guetta Featuring Nicki Minaj,2012,35
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2012,36
Blow Me (One Last Kiss),P!nk,2012,37
Good Time,Owl City & Carly Rae Jepsen,2012,38
Give Your Heart A Break,Demi Lovato,2012,39
Ni**as in Paris,Jay Z Kanye West,2012,40
The One That Got Away,Katy Perry,2012,41
Feel So Close,Calvin Harris,2012,42
Someone Like You,Adele,2012,43
Scream,Usher,2012,44
Rack City,Tyga,2012,45
Domino,Jessie J,2012,46
Gangnam Style,PSY,2012,47
International Love,Pitbull Featuring Chris Brown,2012,48
Home,Phillip Phillips,2012,49
Without You,David Guetta Featuring Usher,2012,50
Ass Back Home,Gym Class Heroes Featuring Neon Hitch,2012,51
Wanted,Hunter Hayes,2012,52
Drunk On You,Luke Bryan,2012,53
No Lie,2 Chainz Featuring Drake,2012,54
Want U Back,Cher Lloyd,2012,55
Don't Wake Me Up,Chris Brown,2012,56
Dance (A$$),Big Sean Featuring Nicki Minaj,2012,57
Springsteen,Eric Church,2012,58
Brokenhearted,Karmin,2012,59
Not Over You,Gavin DeGraw,2012,60
Stereo Hearts,Gym Class Heroes Featuring Adam Levine,2012,61
Back In Time,Pitbull,2012,62
Work Out,J. Cole,2012,63
Rumour Has It,Adele,2012,64
Let's Go,Calvin Harris Featuring Ne-Yo,2012,65
Good Girl,Carrie Underwood,2012,66
Pontoon,Little Big Town,2012,67
Ho Hey,The Lumineers,2012,68
Paradise,Coldplay,2012,69
Blown Away,Carrie Underwood,2012,70
Rolling In The Deep,Adele,2012,71
Climax,Usher,2012,72
"Work Hard, Play Hard",Wiz Khalifa,2012,73
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2012,74
Pound The Alarm,Nicki Minaj,2012,75
Come Over,Kenny Chesney,2012,76
Heart Attack,Trey Songz,2012,77
Drank In My Cup,Kirko Bangz,2012,78
Birthday Cake,Rihanna Featuring Chris Brown,2012,79
So Good,B.o.B,2012,80
50 Ways To Say Goodbye,Train,2012,81
Red Solo Cup,Toby Keith,2012,82
Love You Like A Love Song,Selena Gomez & The Scene,2012,83
Turn Up The Music,Chris Brown,2012,84
Die Young,Ke$ha,2012,85
5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,2012,86
A Thousand Years,Christina Perri,2012,87
Take A Little Ride,Jason Aldean,2012,88
You Da One,Rihanna,2012,89
We Run The Night,Havana Brown Featuring Pitbull,2012,90
It's Time,Imagine Dragons,2012,91
Cashin' Out,Ca$h Out,2012,92
I Don't Want This Night To End,Luke Bryan,2012,93
Diamonds,Rihanna,2012,94
Hard To Love,Lee Brice,2012,95
Somethin' 'Bout A Truck,Kip Moore,2012,96
Adorn,Miguel,2012,97
Fly Over States,Jason Aldean,2012,98
Even If It Breaks Your Heart,Eli Young Band,2012,99
Rolling In The Deep,Adele,2011,1
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2011,2
Firework,Katy Perry,2011,3
E.T.,Katy Perry Featuring Kanye West,2011,4
Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2011,5
Grenade,Bruno Mars,2011,6
Super Bass,Nicki Minaj,2011,7
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2011,8
Just Can't Get Enough,The Black Eyed Peas,2011,9
On The Floor,Jennifer Lopez Featuring Pitbull,2011,10
S&M,Rihanna,2011,11
Pumped Up Kicks,Foster The People,2011,12
Last Friday Night (T.G.I.F.),Katy Perry,2011,13
Just The Way You Are,Bruno Mars,2011,14
Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,2011,15
Raise Your Glass,P!nk,2011,16
Born This Way,Lady Gaga,2011,17
F**kin' Perfect,P!nk,2011,18
What's My Name?,Rihanna Featuring Drake,2011,19
Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,2011,20
Down On Me,Jeremih Featuring 50 Cent,2011,21
How To Love,Lil Wayne,2011,22
Someone Like You,Adele,2011,23
Good Life,OneRepublic,2011,24
The Lazy Song,Bruno Mars,2011,25
Till The World Ends,Britney Spears,2011,26
The Show Goes On,Lupe Fiasco,2011,27
The Edge Of Glory,Lady Gaga,2011,28
We R Who We R,Ke$ha,2011,29
Black And Yellow,Wiz Khalifa,2011,30
Tonight Tonight,Hot Chelle Rae,2011,31
Blow,Ke$ha,2011,32
Lighters,Bad Meets Evil Featuring Bruno Mars,2011,33
If I Die Young,The Band Perry,2011,34
Stereo Hearts,Gym Class Heroes Featuring Adam Levine,2011,35
The Time (Dirty Bit),The Black Eyed Peas,2011,36
Coming Home,Diddy - Dirty Money Featuring Skylar Grey,2011,37
Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,2011,38
Only Girl (In The World),Rihanna,2011,39
6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,2011,40
Just A Kiss,Lady Antebellum,2011,41
Dirt Road Anthem,Jason Aldean,2011,42
Dynamite,Taio Cruz,2011,43
No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,2011,44
I Wanna Go,Britney Spears,2011,45
I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",2011,46
You Make Me Feel...,Cobra Starship Featuring Sabi,2011,47
Yeah 3X,Chris Brown,2011,48
Moment 4 Life,Nicki Minaj Featuring Drake,2011,49
I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,2011,50
Just A Dream,Nelly,2011,51
Motivation,Kelly Rowland Featuring Lil Wayne,2011,52
Stereo Love,Edward Maya & Vika Jigulina,2011,53
Jar Of Hearts,Christina Perri,2011,54
Roll Up,Wiz Khalifa,2011,55
Sexy And I Know It,LMFAO,2011,56
Rocketeer,Far*East Movement Featuring Ryan Tedder,2011,57
All Of The Lights,Kanye West,2011,58
Hold It Against Me,Britney Spears,2011,59
More,Usher,2011,60
What The Hell,Avril Lavigne,2011,61
Written In The Stars,Tinie Tempah Featuring Eric Turner,2011,62
Bottoms Up,Trey Songz Featuring Nicki Minaj,2011,63
DJ Got Us Fallin' In Love,Usher Featuring Pitbull,2011,64
For The First Time,The Script,2011,65
Honey Bee,Blake Shelton,2011,66
Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,2011,67
We Found Love,Rihanna Featuring Calvin Harris,2011,68
Pretty Girl Rock,Keri Hilson,2011,69
You And I,Lady Gaga,2011,70
Like A G6,Far*East Movement Featuring Cataracs & Dev,2011,71
Without You,David Guetta Featuring Usher,2011,72
Back To December,Taylor Swift,2011,73
Teenage Dream,Katy Perry,2011,74
Crazy Girl,Eli Young Band,2011,75
Cheers (Drink To That),Rihanna,2011,76
Who Says,Selena Gomez & The Scene,2011,77
Barefoot Blue Jean Night,Jake Owen,2011,78
Knee Deep,Zac Brown Band Featuring Jimmy Buffett,2011,79
Country Girl (Shake It For Me),Luke Bryan,2011,80
Remind Me,Brad Paisley Duet With Carrie Underwood,2011,81
In The Dark,Dev,2011,82
Backseat,New Boyz Featuring The Cataracs & Dev,2011,83
Headlines,Drake,2011,84
Best Thing I Never Had,Beyonce,2011,85
Don't Wanna Go Home,Jason Derulo,2011,86
Where Them Girls At,David Guetta Featuring Flo Rida & Nicki Minaj,2011,87
She Ain't You,Chris Brown,2011,88
Take A Back Road,Rodney Atkins,2011,89
Please Don't Go,Mike Posner,2011,90
Sure Thing,Miguel,2011,91
Price Tag,Jessie J Featuring B.o.B,2011,92
God Gave Me You,Blake Shelton,2011,93
She Will,Lil Wayne Featuring Drake,2011,94
Are You Gonna Kiss Me Or Not,Thompson Square,2011,95
Animal,Neon Trees,2011,96
You And Tequila,Kenny Chesney Featuring Grace Potter,2011,97
Colder Weather,Zac Brown Band,2011,98
My Last,Big Sean Featuring Chris Brown,2011,99
TiK ToK,Ke$ha,2010,1
